record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-26 01:14:16,2026-07-26 00:00:00,139,139,54,27.3,3.7,1.6,8.2,27,88,1.5
2026-07-26 03:33:54,2026-07-26 03:00:00,134,134,53,15.5,3.2,1.6,8.2,25,94,0.5
2026-07-26 05:08:21,2026-07-26 04:00:00,134,134,53,14.3,2.8,1.6,7.3,24,100,0.5
2026-07-26 06:10:09,2026-07-26 05:00:00,127,127,51,13,2.8,1.6,7.3,24,100,0.5
2026-07-26 07:14:02,2026-07-26 07:00:00,107,107,42,11.4,5.1,1.6,7.3,26,88,0.2
2026-07-26 11:54:43,2026-07-26 11:00:00,85,85,33,40.3,2.8,1.6,6.4,31,70,1.5
2026-07-26 14:48:14,2026-07-26 14:00:00,70,70,28,53.2,2.3,1.6,6.4,33,55,1.5
2026-07-26 17:23:05,2026-07-26 17:00:00,80,72,30,79.9,2.8,1.6,6.4,31,70,1.5
2026-07-26 19:36:41,2026-07-26 19:00:00,104,104,44,69.5,4.6,1.6,7.3,31,70,3.6
2026-07-26 21:55:49,2026-07-26 21:00:00,112,112,50,45.1,6,1.6,6.4,28,83,2.5
2026-07-26 23:28:53,2026-07-26 23:00:00,117,117,52,32.5,6.4,1.6,6.4,28,83,2.5
