record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-18 01:06:58,2026-04-18 00:00:00,129,129,59,16.7,6.9,1.6,7.3,18,77,1.5
2026-04-18 02:05:49,2026-04-18 01:00:00,124,124,60,16.7,5.5,2.1,7.3,17,82,1.5
2026-04-18 03:32:11,2026-04-18 03:00:00,132,132,63,19.5,2.8,1.6,6.4,14,93,0.5
2026-04-18 05:04:06,2026-04-18 04:00:00,137,137,64,20.4,2.3,1.6,6.4,15,93,0.5
2026-04-18 06:01:18,2026-04-18 05:00:00,142,142,65,19.9,2.8,2.1,6.4,15,93,0.5
2026-04-18 07:01:48,2026-04-18 06:00:00,144,144,64,21.2,2.8,1.6,6.4,15,93,0.5
2026-04-18 07:55:55,2026-04-18 07:00:00,144,144,64,23.6,3.2,1.6,6.4,16,87,1.5
2026-04-18 11:30:15,2026-04-18 11:00:00,159,159,72,45.1,3.2,2.1,7.3,21,68,1.5
2026-04-18 13:50:27,2026-04-18 13:00:00,172,172,88,57.1,5.1,2.6,10.9,24,57,3.6
2026-04-18 15:35:24,2026-04-18 15:00:00,179,179,96,85.1,5.1,3.6,10.9,26,50,3.6
2026-04-18 17:05:26,2026-04-18 16:00:00,174,174,91,94.9,6,4.1,10.9,27,44,4.6
2026-04-18 18:01:55,2026-04-18 17:00:00,164,164,80,97.5,6.9,4.1,9.1,26,44,4.6
2026-04-18 19:00:59,2026-04-18 18:00:00,153,153,68,92.3,6,3.6,8.2,26,44,3.6
2026-04-18 19:49:51,2026-04-18 19:00:00,153,153,69,81.9,6,2.6,8.2,21,64,1.5
2026-04-18 21:35:54,2026-04-18 21:00:00,163,163,83,0.9,8.3,2.1,9.1,21,60,3.6
2026-04-18 22:58:24,2026-04-18 22:00:00,165,165,87,0.9,11.9,2.1,10,22,56,2.5
2026-04-18 23:54:05,2026-04-18 23:00:00,160,160,81,0.9,14.7,2.1,9.1,21,60,2.5
