record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-02 01:14:11,2026-08-02 00:00:00,59,59,28,25.6,3.2,1.6,4.6,29,88,1.5
2026-08-02 03:33:18,2026-08-02 03:00:00,59,59,30,21.6,3.2,1.6,4.6,29,88,1.5
2026-08-02 05:08:46,2026-08-02 04:00:00,61,61,31,15.9,2.8,1.6,4.6,28,94,0.5
2026-08-02 06:10:59,2026-08-02 05:00:00,63,63,33,17.5,2.8,1.6,4.6,28,94,1
2026-08-02 07:13:14,2026-08-02 06:00:00,63,63,32,15.5,2.8,1.6,4.6,28,94,1
2026-08-02 08:14:40,2026-08-02 07:00:00,68,68,34,14.3,4.6,1.6,5.5,28.5,91,1
2026-08-02 12:37:18,2026-08-02 12:00:00,76,76,42,47.6,2.8,1.6,5.5,34,71,2.5
2026-08-02 15:40:44,2026-08-02 15:00:00,80,80,36,50,2.3,1.6,5.5,25,94,11.3
2026-08-02 18:07:03,2026-08-02 17:00:00,37,21,10,37.4,1.9,1.6,3.7,27,94,2.5
2026-08-02 19:34:08,2026-08-02 19:00:00,42,42,15,26.4,2.8,1.6,4.6,27,94,1.5
2026-08-02 21:54:05,2026-08-02 21:00:00,53,53,19,18.3,4.6,1.6,4.6,26,97,0.7
2026-08-02 23:19:35,2026-08-02 23:00:00,55,55,22,13,4.6,1.6,4.6,26,97,1
