record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-22 00:50:31,2026-08-22 00:00:00,57,57,20,39.4,4.6,0.6,5.5,26,83,1.5
2026-08-22 01:44:46,2026-08-22 01:00:00,57,57,20,36.2,4.6,0.6,6.4,26,83,1.5
2026-08-22 02:55:19,2026-08-22 02:00:00,57,57,22,34.2,4.6,1.1,6.4,25,88,0.5
2026-08-22 03:36:50,2026-08-22 03:00:00,61,61,24,33.3,4.6,1.1,6.4,25,88,1.5
2026-08-22 04:40:51,2026-08-22 04:00:00,70,70,30,31.3,4.6,1.1,6.4,25,94,0.5
2026-08-22 05:37:45,2026-08-22 05:00:00,80,80,36,28.9,4.6,1.1,6.4,25,94,1.5
2026-08-22 06:41:09,2026-08-22 06:00:00,82,82,37,27.7,4.2,1.1,6.4,25,94,3.6
2026-08-22 07:38:04,2026-08-22 07:00:00,82,82,37,26,4.6,1.1,7.3,26,88,1.5
2026-08-22 09:49:33,2026-08-22 09:00:00,85,85,35,22.8,4.2,0.6,7.3,27,83,2.5
2026-08-22 11:06:58,2026-08-22 10:00:00,65,65,24,27.7,3.2,1.6,6.4,27,88,2.5
2026-08-22 11:56:03,2026-08-22 11:00:00,63,63,22,28.1,3.2,0.6,6.4,24.5,97,1.5
