record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-25 00:54:56,2026-08-25 00:00:00,57,57,24,24.4,3.7,0.6,5.5,27,88,1.5
2026-08-25 01:46:09,2026-08-25 01:00:00,65,65,30,33.8,5.1,1.6,5.5,27,85.5,1.5
2026-08-25 02:58:49,2026-08-25 02:00:00,72,72,30,32.5,5.1,2.1,6.4,25,94,0.5
2026-08-25 03:44:28,2026-08-25 03:00:00,76,76,33,30.9,5.1,1.6,7.3,25,94,0.5
2026-08-25 04:47:40,2026-08-25 04:00:00,72,72,31,23.6,4.6,1.6,6.4,25,94,0.5
2026-08-25 05:43:14,2026-08-25 05:00:00,63,63,28,17.9,3.7,1.1,6.4,25,94,0.5
2026-08-25 06:43:53,2026-08-25 06:00:00,65,65,28,20.4,3.2,1.1,6.4,26,94,0.5
2026-08-25 07:34:30,2026-08-25 07:00:00,65,65,28,20.4,3.2,1.1,7.3,26,94,0.5
2026-08-25 09:51:53,2026-08-25 09:00:00,65,65,28,24,3.2,1.6,7.3,27,88,1.5
2026-08-25 11:12:33,2026-08-25 10:00:00,80,80,34,33.3,3.2,2.1,7.3,27,88,1.5
2026-08-25 12:03:08,2026-08-25 11:00:00,104,104,51,39.4,3.7,1.6,7.3,28,88,2.5
2026-08-25 12:53:19,2026-08-25 12:00:00,112,112,54,44.3,3.2,1.6,7.3,29,83,1.5
2026-08-25 13:47:28,2026-08-25 13:00:00,97,97,50,50.6,2.8,1.1,7.3,29,88,1.5
2026-08-25 15:07:52,2026-08-25 14:00:00,93,93,44,54.5,2.8,1.1,6.4,30,79,1.5
2026-08-25 15:57:50,2026-08-25 15:00:00,95,95,41,48.4,2.8,1.1,6.4,27,78,7.7
2026-08-25 16:59:50,2026-08-25 16:00:00,82,82,35,45.5,2.3,1.1,6.4,26,83,2.5
2026-08-25 17:51:08,2026-08-25 17:00:00,47,38,14,46.8,1.4,1.1,4.6,25,94,1.5
2026-08-25 18:49:04,2026-08-25 18:00:00,45,17,6,45.1,1.4,0.6,3.7,21,100,4.6
